aurl,a,b,c,alpha,beta,gamma,density,enthalpy_formation_atom,spacegroup_relax,volume_cell,avg_en_dev,avg_mendeleev,p_fraction,group_std,num_unique_elements,num_constituent_atoms,egap
TRI/K6O5Pb2_ICSD_74873,12.675617,7.7508974,6.5232351,87.887061,84.292654,79.104593,3.86676,-1.26661,2,626.111,1.7467,24.4615,0.5455,7.5184,3.0000,13.0000,2.1205
CUB/K4Si4_ICSD_409852,12.691884,12.691884,12.691884,90.0,90.0,90.0,1.74617,-0.07301,218,2044.46,1.0800,16.5000,0.4000,9.1924,2.0000,2.0000,1.2708
MCL/Hg9I6P5_ICSD_33717,12.703587,13.404112,16.008876,73.140266,90.0,90.0,6.9293,-0.178988,14,2608.83,0.4400,55.6500,0.2571,2.2213,3.0000,20.0000,1.3495
MCL/Bi1K1P2S7_ICSD_81771,12.705547,9.2333816,9.783197,89.625347,90.0,90.0,3.09306,-0.502364,14,1147.69,0.9083,22.1818,0.6379,4.4558,4.0000,11.0000,2.3919
MCL/Bi1P2S7Tl1_ICSD_249460,12.710797,9.2104606,9.7822824,89.739171,90.0,90.0,4.05829,-0.343996,14,1145.22,0.5083,27.8182,0.6333,0.9342,4.0000,11.0000,2.2209
MCL/B1Rb1Se3_ICSD_411343,12.722805,6.2643257,7.5186578,74.52834,90.0,90.0,3.8317,-0.557134,14,577.521,1.1533,28.8000,0.5909,6.5038,3.0000,5.0000,1.5162
HEX/O2Si1_ICSD_170522,12.737256,12.737256,3.7772251,90.0,90.0,120.0,2.25599,-2.02712,177,530.707,1.5400,10.0000,0.6250,1.1547,2.0000,3.0000,1.2611
MCL/C2F6Te2_ICSD_401990,12.736867,8.9847576,10.283059,78.161238,90.0,90.0,2.26769,-1.16827,14,1151.74,1.2533,17.0000,0.6774,1.3038,3.0000,5.0000,2.3993
MCLC/Cl5Cs3Li2_ICSD_245971,12.751242,12.751242,4.2243292,80.441564,80.441564,146.60103,3.17432,-1.92666,8,308.567,1.5800,25.6000,0.6250,8.4327,3.0000,10.0000,4.9793
MCL/As2Ba1_ICSD_414139,12.771749,6.6836068,6.6920959,75.757794,90.000044,89.999959,5.16748,-0.788854,7,553.689,1.2900,40.6667,0.5000,7.5056,2.0000,3.0000,0.4235
MCL/Cl5K2Sb1_ICSD_6059,12.767797,9.1099199,9.0625039,70.899134,90.0,90.0,2.51541,-1.51162,14,996.058,1.5600,21.7500,0.6667,7.2850,3.0000,8.0000,3.2391
RHL/C1Si1_ICSD_24168,12.782677,12.782677,12.782677,13.903077,13.903077,13.903077,3.17226,-0.207962,160,104.944,0.6500,10.0000,0.5000,0.0000,2.0000,2.0000,1.9594
MCL/H3O8Rb1S2_ICSD_78946,12.780625,7.6523087,7.9843874,88.273511,90.0,90.0,2.38791,-1.37983,14,780.529,1.3733,9.7143,0.6250,7.0321,4.0000,14.0000,5.6549
BCT/Ca2Mn1O4_ICSD_62167,12.788973,12.788973,12.788973,156.322,156.322,33.733065,3.92378,-2.10939,142,337.028,1.6267,13.8571,0.4571,6.7999,3.0000,7.0000,0.3616
ORCI/Ca3O7Si2_ICSD_424472,12.791157,12.791157,12.791157,156.82726,126.32368,59.224937,2.90282,-3.07281,46,659.924,1.6267,12.0000,0.5714,6.1767,3.0000,12.0000,4.6225
MCL/N2O1Si2_ICSD_98645,12.794646,4.6749406,4.7074375,60.228098,90.090604,90.0,4.084,-1.27752,15,244.406,1.0267,10.0000,0.5833,0.8367,3.0000,5.0000,5.1612
CUB/Al2Ba1S4_ICSD_35136,12.797998,12.797998,12.797998,90.0,90.0,90.0,3.03753,-1.47237,205,2096.17,1.1267,20.8571,0.5625,5.1130,3.0000,7.0000,3.6494
MCL/H28N8O12P4_ICSD_59348,12.80915,6.6265596,16.537851,95.475385,90.0,90.0,1.08417,-0.692622,14,1397.34,0.7650,4.6154,0.5250,7.5320,4.0000,13.0000,3.0804
MCL/H9P1Si3_ICSD_72676,12.821285,6.1368075,9.750471,85.923264,90.0,90.0,1.07891,-0.0154751,14,765.243,0.2000,5.0769,0.3462,6.3700,3.0000,13.0000,4.1919
MCL/B4H10_ICSD_36284,12.82585,8.1519626,9.213264,85.157623,90.0,90.0,0.368963,-0.0564699,14,959.862,0.1600,2.1429,0.1818,5.8554,2.0000,7.0000,6.6393
CUB/Ge1I4_ICSD_67895,12.829624,12.829624,12.829624,90.0,90.0,90.0,3.6499,-0.286581,205,2111.75,0.6500,48.8000,0.6875,1.3416,2.0000,5.0000,1.9686
TRI/Rb1S2Sb1_ICSD_56788,12.831266,6.6991771,6.7333941,75.512363,73.558378,70.032192,3.50544,-0.782689,2,514.134,1.1733,30.0000,0.6111,7.3485,3.0000,4.0000,1.9433
TRI/Rb1S2Sb1_ICSD_200263,12.834679,6.6987068,6.7342939,75.507437,73.540479,70.066823,3.50393,-0.782656,1,514.357,1.1733,30.0000,0.6111,7.3485,3.0000,4.0000,1.9513
CUB/Ge1K1_ICSD_43515,12.845138,12.845138,12.845138,90.0,90.0,90.0,2.80021,-0.222311,218,2119.42,1.1900,25.5000,0.4000,9.1924,2.0000,2.0000,0.9468
MCL/Bi1I3_ICSD_187608,12.846869,8.4213499,8.0321109,65.553824,90.0,90.0,4.95129,-0.45352,14,791.074,0.6400,60.5000,0.6923,1.0000,2.0000,4.0000,2.2696
CUB/As4Si1Sr4_ICSD_611409,12.838523,12.838523,12.838523,90.0,90.0,90.0,4.2578,-1.02458,218,2116.14,0.8200,33.1111,0.4375,6.7536,3.0000,9.0000,1.1068
TRI/C3O1S7_ICSD_165374,12.877113,9.3223056,4.9654318,87.867092,99.570695,101.9701,1.59675,0.0199645,2,574.993,0.5933,12.5455,0.6333,0.9342,3.0000,11.0000,2.1588
MCL/Al1Cl7Te1_ICSD_26043,12.881121,6.7360737,14.509628,79.293585,90.0,90.0,2.16251,-1.07181,14,1237.06,1.0333,20.4444,0.6897,1.3333,3.0000,9.0000,3.2907
MCLC/Mg1O1_ICSD_181464,12.893575,12.893575,7.5772404,85.656412,85.656412,15.479605,2.39583,-2.57112,8,335.217,2.1300,10.0000,0.5000,9.8995,2.0000,2.0000,2.7381
BCC/B1Ba2Cl1N2_ICSD_418947,12.894087,12.894087,12.894087,109.47122,109.47122,109.47122,4.21334,-1.42977,214,1650.25,1.3017,24.6667,0.5000,6.8313,4.0000,6.0000,2.7500
MCL/C7Ho4_ICSD_74817,12.902626,3.7615195,14.018214,89.095222,90.0,90.0,7.26248,-0.220374,14,680.268,1.3200,28.1818,0.3889,5.5498,2.0000,11.0000,0.5769
ORC/Br4Hg3Te1_ICSD_82788,12.912194,13.116282,13.309216,90.0,90.0,90.0,6.18224,-0.443616,61,2254.05,0.6400,54.0000,0.3429,2.5071,3.0000,8.0000,1.9065
MCL/Ca3H20N2O20P4_ICSD_16442,12.912862,7.7346786,11.164376,96.263084,90.0,90.0,1.8346,-1.54,14,1108.41,1.1460,6.4082,0.5568,7.3916,5.0000,49.0000,4.4056
BCT/Al2Ca1Cl8_ICSD_56730,12.918227,12.918227,12.918227,126.31489,126.31489,79.371214,1.85402,-1.82421,142,1353.02,1.4400,16.5455,0.6562,4.5707,3.0000,11.0000,5.4184
CUB/Ge1K4S4_ICSD_418257,12.917927,12.917927,12.917927,90.0,90.0,90.0,2.20141,-1.06903,218,2155.65,1.1733,19.1111,0.5625,7.7208,3.0000,9.0000,2.7028
CUB/As4Ge1Sr4_ICSD_610619,12.922394,12.922394,12.922394,90.0,90.0,90.0,4.44941,-0.986858,218,2157.89,0.8200,35.1111,0.4375,6.7536,3.0000,9.0000,0.7536
FCC/Cl16Ge6_ICSD_86673,12.924047,12.924047,12.924047,60.0,60.0,60.0,2.18176,-0.879909,219,1526.44,1.1500,21.0909,0.6765,1.4013,2.0000,11.0000,3.1475
CUB/I4Si1_ICSD_22100,12.924662,12.924662,12.924662,90.0,90.0,90.0,3.29614,-0.381602,205,2159.02,0.7600,45.2000,0.6875,1.3416,2.0000,5.0000,2.8168
ORCF/O2Si1_ICSD_170501,12.939126,10.73739,7.9704736,86.181448,55.893489,37.925063,2.09986,-2.52888,70,380.111,1.5400,10.0000,0.6250,1.1547,2.0000,3.0000,3.9364
MCLC/As1Rb1Se2_ICSD_65298,12.958597,12.958597,9.6922248,79.066781,79.066781,46.375956,3.66799,-0.629156,15,1152.82,1.1533,34.5000,0.6111,7.3485,3.0000,4.0000,1.6234
MCL/C2H1K1O4_ICSD_246788,12.961272,4.4724933,7.9744993,74.678631,90.0,90.0,1.9088,-1.3446,14,445.846,1.3683,8.0000,0.5882,6.6922,4.0000,8.0000,3.1303
CUB/As2Br3Hg4_ICSD_82312,12.963412,12.963412,12.963412,90.0,90.0,90.0,7.2682,-0.293292,205,2178.5,0.6400,54.5556,0.2658,2.3452,3.0000,9.0000,0.7298
MCL/K2O15Si6Ti1_ICSD_51313,12.968072,7.0142972,7.778567,73.789251,90.0,90.0,2.61318,-2.66484,4,679.422,1.3700,11.0000,0.6000,4.6462,4.0000,24.0000,3.9200
MCL/As2O3_ICSD_100434,12.981419,4.7651154,6.4161816,79.898374,90.0,90.0,3.3631,-1.14484,14,390.739,1.2600,18.0000,0.6429,0.5477,2.0000,5.0000,2.9038
MCL/O3P4S6_ICSD_86494,13.009853,7.0065367,7.7169489,75.50428,90.0,90.0,1.77628,-0.779815,11,681.038,0.8333,13.8462,0.6486,0.4804,3.0000,13.0000,3.2058
ORCF/Al2O10Rb2Si3_ICSD_180324,13.021352,10.094114,9.4786467,83.343862,50.351375,46.304763,2.76636,-2.80255,43,563.225,1.3583,13.0588,0.6000,4.8492,4.0000,17.0000,4.3787
RHL/O9P3Y1_ICSD_98554,13.050362,13.050152,13.050453,110.4713,110.4733,110.47056,2.63193,-2.57123,148,1644.54,1.4800,12.0000,0.6250,3.5626,3.0000,13.0000,5.6741
MCLC/Cl1Cs6Ho21S34_ICSD_262684,13.05264,13.05264,13.059229,65.588464,65.588464,97.328921,5.1963,-2.04477,12,1721.31,1.4100,37.0645,0.5444,6.7586,4.0000,62.0000,1.9665
BCT/Pb4Rb4_ICSD_409436,13.057551,13.057551,13.057551,124.97282,124.97282,81.58305,5.40435,-0.229095,142,1438.8,1.5100,59.5000,0.4000,9.1924,2.0000,2.0000,0.4251
MCL/Ba3O1Sb4_ICSD_415032,13.064035,7.1422561,12.286951,79.846896,90.0,90.0,5.38547,-1.30081,14,1128.5,1.7000,47.5000,0.5000,6.8400,3.0000,8.0000,0.3443
MCL/Al2Br6N2Se2_ICSD_82802,13.054385,10.65666,11.024896,44.149513,90.0,90.0,2.23619,-0.341423,14,1068.3,0.7833,26.5000,0.6571,1.6021,4.0000,6.0000,0.2760
MCL/F6Pb1Te1_ICSD_81865,13.077818,4.7684854,8.7221685,76.569363,90.0,90.0,5.6345,-2.26276,14,529.051,1.2533,23.5000,0.6923,1.0690,3.0000,8.0000,4.5945
MCL/K3N3O6Se3_ICSD_2015,13.075333,7.6130288,11.421462,76.302973,90.0,90.0,2.95966,-0.560918,14,1104.59,1.3917,15.2000,0.6250,6.6106,4.0000,5.0000,2.7822
ORCF/Cl12Se2Zr1_ICSD_404533,13.101879,12.94218,9.2262712,70.182461,68.327488,41.496588,2.33771,-0.872556,43,958.341,1.2200,20.8000,0.6800,3.3381,3.0000,15.0000,2.8184
TET/Mn1O4Pb2_ICSD_174591,13.102596,13.102596,5.2459102,90.0,90.0,90.0,7.86691,-1.01681,114,900.608,1.2600,31.5714,0.5128,3.2878,3.0000,7.0000,0.7540
MCL/Cl7I1S1_ICSD_200374,13.103248,8.9199471,10.596051,72.198572,90.0,90.0,2.29335,-0.235063,14,1179.17,0.3867,20.8889,0.7097,0.3333,3.0000,9.0000,1.6709
MCL/C6H18N3O1P1_ICSD_409222,13.102874,6.6349961,6.6192437,74.810977,90.0,90.0,1.07164,-0.255694,11,555.358,0.6680,3.3793,0.4118,6.7014,5.0000,29.0000,3.9102
FCC/Cl16Si6_ICSD_2767,13.104675,13.104675,13.104675,60.0,60.0,60.0,1.53551,-1.16378,219,1591.34,1.2600,16.1818,0.6765,1.4013,2.0000,11.0000,4.7647
MCL/Sb3Sr2_ICSD_32033,13.110563,6.7389753,15.34352,89.937079,90.0,90.0,5.29648,-0.940567,14,1355.63,1.1000,45.8000,0.4737,7.1204,2.0000,5.0000,0.0853
MCL/Cl5Sb1_ICSD_412110,13.118257,10.090397,13.364238,70.933486,90.0,90.0,2.37579,-0.733936,14,1671.96,1.1100,22.6667,0.7000,0.8165,2.0000,6.0000,1.7212
MCL/P4S6_ICSD_78765,13.130562,7.5054782,12.326043,78.438445,90.0,90.0,1.76508,-0.198402,14,1190.1,0.3900,15.6000,0.6429,0.5477,2.0000,5.0000,2.4602
MCL/Al2Te3_ICSD_406353,13.12411,7.2820803,16.970873,64.576658,90.0,90.0,3.96087,-0.451244,14,1464.85,0.4900,36.4000,0.5833,1.6432,2.0000,5.0000,1.8551
MCL/Cd1O3Se1_ICSD_75274,13.132903,5.8307595,8.7996369,78.898383,90.0,90.0,4.80905,-0.953246,14,661.221,1.1667,21.2000,0.4444,1.7889,3.0000,5.0000,3.4888
CUB/Ba4P4Si1_ICSD_32559,13.133181,13.133181,13.133181,90.0,90.0,90.0,4.11276,-1.00823,218,2265.22,0.8667,33.1111,0.4375,6.7536,3.0000,9.0000,1.0874
MCL/Be1Cl2H8O4_ICSD_417642,13.145123,6.6673138,7.9388053,75.894377,90.0,90.0,1.49595,-1.2169,14,674.799,1.0950,5.2000,0.5417,7.7294,4.0000,15.0000,5.3322
MCL/Cs5Fe1O4_ICSD_414482,13.155277,7.4669874,11.484642,81.455045,90.0,90.0,4.66999,-1.00914,14,1115.62,1.7667,33.3000,0.4324,7.4543,3.0000,10.0000,1.4506
MCL/B1Cs1Se3_ICSD_411342,13.170578,6.2748519,7.8595795,73.377242,90.0,90.0,4.06167,-0.586591,14,622.398,1.1733,32.4000,0.5909,6.5038,3.0000,5.0000,1.6356
MCL/C1Cs1H1O3_ICSD_300259,13.175005,4.5999913,7.6761661,73.423561,90.0,90.0,2.88882,-1.52729,14,445.879,1.3833,14.3333,0.5833,7.5277,4.0000,6.0000,4.3221
CUB/Rb4Si4_ICSD_409853,13.180369,13.180369,13.180369,90.0,90.0,90.0,2.63522,-0.0506611,218,2289.72,1.0800,25.5000,0.4000,9.1924,2.0000,2.0000,1.3536
MCL/Al2K6Se6_ICSD_300172,13.186108,8.1504155,8.5521283,78.986329,90.0,90.0,2.80618,-1.19968,14,902.188,1.1533,24.5714,0.5417,7.6904,3.0000,7.0000,2.3834
MCL/As2O7Ti1_ICSD_73476,13.185408,5.2967888,10.082127,59.88793,90.0,90.0,3.3776,-1.44368,14,609.112,1.2667,14.4000,0.6071,3.7476,3.0000,10.0000,2.9499
MCL/C1Cs1H1N2O2_ICSD_170588,13.1919,4.8398303,7.9876276,81.44557,90.0,90.0,2.71235,-0.315124,14,504.309,1.2280,13.1429,0.5714,6.9625,5.0000,7.0000,1.0350
MCL/I1O7Sb5_ICSD_146,13.196667,6.9663833,11.80505,91.400152,90.0,90.0,5.18939,-1.33652,14,1084.95,0.9267,28.0000,0.6486,0.6304,3.0000,13.0000,2.5652
ORCF/Al2H4Na2O12Si3_ICSD_60187,13.201016,9.970267,9.8413068,83.565929,48.634408,47.799663,2.18547,-2.34212,43,577.794,1.1220,8.2609,0.5833,6.4935,5.0000,23.0000,4.5137
CUB/Ba4Ge1P4_ICSD_32560,13.219184,13.219184,13.219184,90.0,90.0,90.0,4.28895,-0.9545,218,2310.01,0.8667,35.1111,0.4375,6.7536,3.0000,9.0000,1.0113
ORCC/O64Si32_ICSD_280624,13.24215,13.24215,5.2051488,90.0,90.0,100.60919,1.77938,-2.81234,21,897.144,1.5400,10.0000,0.6250,1.1547,2.0000,3.0000,5.5495
MCL/S3Tl4_ICSD_651236,13.265623,8.019988,8.1260853,76.949989,90.0,90.0,7.20568,-0.283325,14,842.207,0.9600,53.1429,0.5333,1.6036,2.0000,7.0000,0.8499
MCL/Cl3N3O3S3_ICSD_74821,13.27756,5.999425,14.481315,83.986192,90.0,90.0,1.69387,-0.133959,14,1147.2,0.4500,12.0000,0.6667,0.8165,4.0000,4.0000,3.5203
TRI/C4H14N2O4S2_ICSD_240221,13.270657,6.1417618,6.4064559,89.140479,98.115179,104.05534,1.44597,-0.409521,2,501.354,0.5940,4.4615,0.5000,7.3781,5.0000,13.0000,5.6302
TRI/K1Sb1Se2_ICSD_100125,13.294394,6.6418613,6.6365045,76.988571,69.815173,74.986704,4.03109,-0.759417,2,525.245,1.1533,34.5000,0.6111,7.3485,3.0000,4.0000,1.4210
CUB/Ge1Rb1_ICSD_43516,13.317336,13.317336,13.317336,90.0,90.0,90.0,3.55601,-0.203695,218,2361.85,1.1900,34.5000,0.4000,9.1924,2.0000,2.0000,1.0677
MCL/F2H2N1P1_ICSD_201528,13.315763,5.0886349,5.3387444,64.930929,90.0,90.0,1.72288,-1.25576,14,327.671,1.0350,7.0000,0.6154,7.7974,4.0000,6.0000,4.8100
TRI/K1Sb1Se2_ICSD_44678,13.323933,6.629591,6.6269394,78.029093,69.629676,76.462066,4.00702,-0.760328,1,528.4,1.1533,34.5000,0.6111,7.3485,3.0000,4.0000,1.3902
RHL/O1Tl2_ICSD_16220,13.328363,13.328363,13.328363,15.624993,15.624993,15.624993,9.42446,-0.593562,166,149.674,1.8200,56.6667,0.5000,1.7321,2.0000,3.0000,0.5689
CUB/Br7Hg6Sb5_ICSD_94518,13.330197,13.330197,13.330197,90.0,90.0,90.0,6.65035,-0.433978,205,2368.7,0.6400,54.4444,0.3425,2.1843,3.0000,18.0000,0.9702
CUB/As2Hg4I3_ICSD_67227,13.349894,13.349894,13.349894,90.0,90.0,90.0,7.44233,-0.168425,205,2379.21,0.4400,60.5556,0.2658,2.3452,3.0000,9.0000,0.6901
CUB/Bi1Br7Hg6Sb4_ICSD_411218,13.354065,13.354065,13.354065,90.0,90.0,90.0,6.85805,-0.452184,205,2381.44,0.4850,56.2222,0.3425,2.1843,4.0000,18.0000,1.0215
ORCC/Cs2I3Li1_ICSD_245984,13.399907,13.399907,8.8630753,90.0,90.0,159.25593,3.8501,-1.44962,36,563.676,1.2467,45.3333,0.6250,8.7636,3.0000,6.0000,3.8253
ORCF/Al2Cs2O10Si3_ICSD_180325,13.390317,10.242054,9.8316316,83.654079,49.481694,46.864226,3.13477,-2.81311,43,597.545,1.3733,15.1765,0.6000,4.8492,4.0000,17.0000,4.4897
ORCC/Ba3S7Zr2_ICSD_69854,13.403067,13.403067,7.12273,90.0,90.0,149.11304,4.14018,-1.8519,66,656.848,1.1267,30.0000,0.5000,6.8291,3.0000,12.0000,0.5088
CUB/Hf1I4_ICSD_109275,13.406631,13.406631,13.406631,90.0,90.0,90.0,3.78245,-0.887597,205,2409.68,1.3600,56.8000,0.6250,5.8138,2.0000,5.0000,3.2442
BCT/Ba3S7Zr2_ICSD_75241,13.411552,13.411552,13.411552,158.32691,158.32691,30.83888,4.13547,-1.85218,139,328.797,1.1267,30.0000,0.5000,6.8291,3.0000,12.0000,0.5051
TRI/Rb1Sb1Se2_ICSD_602244,13.416019,6.9250612,6.9242301,75.245071,73.478997,70.488468,4.2387,-0.759757,1,572.181,1.1533,39.0000,0.6111,7.3485,3.0000,4.0000,1.5316
MCL/K4Pb9_ICSD_240029,13.419179,9.8268984,16.127579,76.660471,90.0,90.0,6.4876,-0.165206,11,2069.35,1.5100,62.6154,0.4500,6.2450,2.0000,13.0000,0.2578
TET/Li5O4Tl1_ICSD_16219,13.417216,13.417216,4.7910854,90.0,90.0,90.0,4.66796,-1.59961,137,862.499,1.6400,12.8000,0.5312,7.6420,3.0000,10.0000,1.6597
RHL/As2Ge1Te4_ICSD_68111,13.418263,13.418263,13.418263,17.787034,17.787034,17.787034,6.18296,-0.0245203,166,196.815,0.1133,43.7143,0.6316,0.7868,3.0000,7.0000,0.2400
TRI/Cl3F2Rb2Sb1_ICSD_200497,13.42708,7.6551665,7.641821,119.28995,101.07319,84.571968,3.23838,-2.01798,2,672.303,1.7650,24.2500,0.6667,7.2850,4.0000,8.0000,3.0614
MCL/Al1Mo2Na1O8_ICSD_281210,13.442336,5.4096615,5.5762228,60.983266,90.048827,90.0,3.46391,-1.74793,15,354.596,1.3467,14.3333,0.5156,5.3400,4.0000,12.0000,3.5773
CUB/Ge1K4Se4_ICSD_418258,13.453325,13.453325,13.453325,90.0,90.0,90.0,2.97239,-1.02436,218,2434.94,1.1533,27.1111,0.5625,7.7208,3.0000,9.0000,1.9974
MCL/Ba1Cu1O6Se2_ICSD_202387,13.455258,5.3836517,9.0464925,89.696733,90.0,90.0,4.60977,-1.1586,14,655.304,1.3833,20.1000,0.5246,4.5326,4.0000,10.0000,1.5965
CUB/As4Ba4Si1_ICSD_26467,13.488043,13.488043,13.488043,90.0,90.0,90.0,4.74829,-1.00052,218,2453.84,0.8600,41.1111,0.4375,6.7536,3.0000,9.0000,0.9866
ORCF/Hf1P2S6_ICSD_47228,13.51091,10.208438,9.535505,86.29118,48.936989,44.771831,3.14624,-0.240894,43,456.848,0.8533,22.0000,0.6000,3.9405,3.0000,9.0000,0.8296
MCL/C2H5N1O4_ICSD_151187,13.517997,4.4742015,8.5707498,71.001596,90.0,90.0,1.45091,-0.879086,14,490.141,0.7017,4.6667,0.5476,7.3896,4.0000,12.0000,3.1649
MCL/Cs2H6N2P4_ICSD_413072,13.545329,7.1579849,10.170593,47.471798,90.0,90.0,1.93662,-0.171212,14,726.711,1.1267,13.5714,0.4737,7.4833,4.0000,7.0000,1.6855
TET/Br8N4P4_ICSD_2716,13.574544,13.574544,8.4610647,90.0,90.0,90.0,1.7449,0.194651,86,1559.11,0.5667,23.0000,0.6667,1.1547,3.0000,4.0000,2.4869
MCL/Pb9Rb4_ICSD_411891,13.585541,10.081304,16.482258,76.842412,90.0,90.0,6.66792,-0.167332,11,2198.15,1.5100,68.1538,0.4500,6.2450,2.0000,13.0000,0.3164
RHL/Al2Mg1Se4_ICSD_41926,13.587031,13.587031,13.587031,16.587942,16.587942,16.587942,3.67085,-0.964396,166,178.278,0.8267,24.8571,0.5625,5.1130,3.0000,7.0000,1.0467
MCLC/Bi1Cl6Cs1K2_ICSD_201983,13.602288,13.602288,13.324219,81.48204,81.48204,33.712655,3.10928,-1.67021,15,1351.81,1.3850,27.8000,0.6600,7.6158,4.0000,10.0000,3.9221
MCL/B4C2H8_ICSD_43257,13.609302,6.7917186,9.4634893,78.600188,90.0,90.0,0.583494,-0.0337646,14,857.459,0.3400,2.8571,0.2857,6.6009,3.0000,7.0000,4.9183
BCT/Cl16Hg3Tl10_ICSD_14109,13.616042,13.616042,13.616042,142.64302,142.64302,53.861382,5.7778,-0.92075,87,923.335,1.0267,45.5862,0.5056,2.1604,3.0000,29.0000,2.5889
MCL/Al2Na7Sb5_ICSD_48168,13.624194,7.7535435,8.2218816,61.992,90.0,90.0,3.56724,-0.474844,11,766.805,0.7467,25.5714,0.4474,6.9992,3.0000,14.0000,0.2788
MCLC/Cl6Rb3Y1_ICSD_72345,13.628492,13.628492,13.172569,81.091709,81.091709,34.356576,2.72043,-2.17989,15,1362.47,1.5600,25.2000,0.6250,8.0250,3.0000,10.0000,5.0531
MCL/Ba2Sb3_ICSD_61089,13.688482,7.0356515,16.023914,89.827871,90.0,90.0,5.50848,-0.989074,14,1543.21,1.1600,53.0000,0.4737,7.1204,2.0000,5.0000,0.2631
MCL/B1F3N4S4_ICSD_22253,13.692703,7.2999997,11.338298,84.716329,90.0,90.0,1.48362,-0.625625,14,1128.52,1.0467,10.3333,0.6471,1.1547,4.0000,12.0000,1.9710
MCL/O4Te1V1_ICSD_19021,13.700406,4.5622822,5.4910029,88.997909,90.0,90.0,4.69451,-1.3178,14,343.163,1.2067,17.8333,0.5714,4.4907,3.0000,6.0000,2.0216
CUB/Cs1Si1_ICSD_43520,13.710447,13.710447,13.710447,90.0,90.0,90.0,3.31929,-0.0820587,218,2577.24,1.1100,34.5000,0.4000,9.1924,2.0000,2.0000,1.5714
HEX/Cl3Cs1Hg1_ICSD_410977,13.712984,13.712984,9.6863075,90.0,90.0,120.0,4.16724,-1.23342,145,1577.44,1.5800,37.2000,0.4412,6.9426,3.0000,5.0000,2.0362
MCL/H5K1O9S2_ICSD_74895,13.705635,7.5490356,8.6118726,72.54065,90.0,90.0,1.97124,-1.33238,14,849.972,1.3733,7.5294,0.6111,7.3889,4.0000,17.0000,5.5084
HEX/C3F9H18Ho1O18S3_ICSD_61781,13.727901,13.729455,7.5194027,90.0,90.0,120.00045,2.09506,-1.36111,176,1227.35,1.1667,7.2308,0.6109,7.3195,6.0000,52.0000,5.9624
ORCC/Na2O7W2_ICSD_65780,13.730894,13.730894,5.5283015,90.0,90.0,163.87329,6.03023,-1.73411,36,289.51,1.6733,20.5455,0.5000,6.5017,3.0000,11.0000,2.2195
TRI/Ba2O7V2_ICSD_34320,13.747442,7.47386,7.492296,89.841659,99.013376,92.358461,4.27163,-2.29453,2,759.652,1.7000,19.4545,0.5000,6.3775,3.0000,11.0000,3.4675
ORC/Cl4Cs2Mg1_ICSD_9005,13.756826,9.9146964,7.6360645,90.0,90.0,90.0,2.75457,-2.00065,62,1041.52,1.5800,27.1429,0.6250,8.3808,3.0000,7.0000,5.0233
MCL/Al1Cl6N1S2_ICSD_14181,13.754681,6.4433479,13.537698,85.139418,90.0,90.0,1.76586,-0.689287,11,1195.48,0.8517,15.4000,0.6774,1.3166,4.0000,10.0000,1.6666
ORCC/Nb2O7Sr2_ICSD_187,13.730452,13.730452,5.7938646,90.0,90.0,163.32794,5.01333,-2.96656,36,313.371,1.6600,19.4545,0.5000,6.3775,3.0000,11.0000,2.7492
MCL/N4O3S5_ICSD_2274,13.794532,7.2939402,11.337907,84.938388,90.0,90.0,1.54505,-0.0478526,14,1136.33,0.5733,11.0000,0.6471,0.4924,3.0000,12.0000,1.7646
HEX/C3F9H18O18S3Y1_ICSD_37209,13.782714,13.780517,7.5536414,90.0,90.0,120.00885,1.86652,-1.35932,176,1242.36,1.1700,6.6923,0.6081,7.3195,6.0000,52.0000,5.9470
TRI/Cr2O7Rb2_ICSD_23546,13.818721,7.9213415,7.8616006,86.717141,89.007355,82.187704,3.01953,-1.19075,2,851.127,1.7467,16.1818,0.5000,6.5017,3.0000,11.0000,2.7228
TET/As1Cs5P4S12_ICSD_260946,13.822405,13.822405,7.5175639,90.0,90.0,90.0,2.88584,-0.778536,84,1436.3,0.8967,25.4545,0.6176,6.3211,4.0000,22.0000,2.4052
MCL/S8_ICSD_66517,13.845594,9.2336872,9.662836,70.49745,90.0,90.0,1.46296,-0.000409094,13,1164.48,0.0000,16.0000,0.6667,0.0000,1.0000,1.0000,2.7519
CUB/Hg4I3Sb2_ICSD_80588,13.847026,13.847026,13.847026,90.0,90.0,90.0,7.13779,-0.23831,205,2655.03,0.4400,64.5556,0.2658,2.3452,3.0000,9.0000,0.7319
CUB/Cs1Ge1_ICSD_43517,13.848787,13.848787,13.848787,90.0,90.0,90.0,4.11118,-0.235742,218,2656.04,1.2200,43.5000,0.4000,9.1924,2.0000,2.0000,1.3785
ORCC/Ba4Sb2Se11Si1_ICSD_165197,13.833005,13.833005,8.9850874,90.001484,89.998516,139.6766,5.04314,-1.14709,36,1112.57,0.8550,39.6667,0.5909,5.8912,4.0000,18.0000,0.8865
MCL/As3Hg1S6Tl1_ICSD_38363,13.848704,6.0547437,17.162647,73.296226,90.0,90.0,3.96151,-0.0590947,14,1378.37,0.5100,32.3636,0.5152,1.3751,4.0000,11.0000,1.2370
