aurl,a,b,c,alpha,beta,gamma,density,enthalpy_formation_atom,spacegroup_relax,volume_cell,avg_en_dev,avg_mendeleev,p_fraction,group_std,num_unique_elements,num_constituent_atoms,egap
MCL/F5O2S1Sb1_ICSD_67273,12.05349,5.9972039,11.003202,74.813855,90.0,90.0,2.42976,-1.89373,14,767.616,1.1083,14.2222,0.6897,0.7265,4.0000,9.0000,3.4609
CUB/Br4Si1_ICSD_710060,12.053543,12.053543,12.053543,90.0,90.0,90.0,2.63756,-0.868861,205,1751.23,1.0600,30.8000,0.6875,1.3416,2.0000,5.0000,4.1012
MCL/Ba1O5Se2_ICSD_54157,12.056993,4.6175011,9.9681592,87.468482,90.0,90.0,4.49562,-1.49691,14,554.418,1.7000,20.5000,0.6364,4.9497,3.0000,8.0000,3.3775
BCT/O2Si1_ICSD_170529,12.065734,12.065734,12.065734,152.14369,152.14369,39.803508,2.08522,-2.65141,98,382.779,1.5400,10.0000,0.6250,1.1547,2.0000,3.0000,4.4828
BCC/Al1O9P3_ICSD_26759,12.066726,12.066726,12.066726,109.47122,109.47122,109.47122,2.59196,-2.38797,220,1352.53,1.2200,10.0000,0.6389,0.8771,3.0000,13.0000,5.6199
ORCI/P2Pb1Rb4Se8_ICSD_165349,12.071996,12.071996,12.071996,133.25286,127.8886,72.581584,4.17546,-0.750351,72,988.418,0.8883,35.4667,0.6061,6.7238,4.0000,15.0000,1.6585
BCT/Al1Cs1O6Si2_ICSD_84322,12.072914,12.072914,12.072914,109.68443,109.68443,109.04565,3.06036,-2.84535,142,1354.55,1.3733,14.4000,0.6042,4.6380,4.0000,10.0000,4.7682
MCLC/C2Cs1F6N1O4S2_ICSD_281183,12.076567,12.076567,13.817468,87.714124,87.714124,34.444496,2.40908,-1.34192,15,1138.81,1.2720,12.0000,0.6630,3.8966,6.0000,16.0000,6.1501
MCL/Li2Se3Te1_ICSD_415121,12.092734,5.6466833,8.2926522,87.468095,90.0,90.0,4.44252,-0.637333,14,565.701,1.0467,26.6667,0.6154,7.7460,3.0000,6.0000,0.5334
TRI/Cl3S8Sb1_ICSD_35741,12.095607,9.4248394,8.6324491,70.343266,64.718058,69.714704,1.97756,-0.325436,2,813.809,0.7400,19.1667,0.6757,0.5774,3.0000,12.0000,2.8329
TRI/Ca4O9P2_ICSD_2631,12.099498,7.0664695,9.5608902,89.022044,90.0,90.0,2.97644,-2.93687,4,817.344,1.6267,12.1333,0.5833,6.3343,3.0000,15.0000,4.4805
FCC/As1Rb3Se16_ICSD_405959,12.09971,12.09971,12.09971,60.0,60.0,60.0,4.22809,-0.340164,203,1252.59,1.1533,34.4000,0.6442,5.4782,3.0000,20.0000,0.9046
CUB/Br4Ge1_ICSD_409856,12.101633,12.101633,12.101633,90.0,90.0,90.0,2.93983,-0.665036,205,1772.28,0.9500,34.4000,0.6875,1.3416,2.0000,5.0000,2.9473
MCL/Ba1O10Sc2Si3_ICSD_167617,12.123724,5.3623989,6.6989025,73.235879,90.0,90.0,3.75505,-2.99385,11,417.002,1.3650,13.7500,0.5750,5.2520,4.0000,16.0000,4.9974
HEX/C1Cl4N1O1Sb1_ICSD_118,12.122277,12.122277,10.759029,90.0,90.0,120.0,2.22358,-0.685254,176,1369.22,0.6780,17.5000,0.6667,1.1952,5.0000,8.0000,2.1563
MCL/B1Rb1S3_ICSD_73084,12.137898,5.8532868,7.2931333,73.785462,90.0,90.0,2.5693,-0.721808,14,497.542,1.1733,18.0000,0.5909,6.5038,3.0000,5.0000,2.2824
MCL/Cl1H5O2_ICSD_15353,12.145753,4.0579773,6.7526715,79.182471,90.0,90.0,1.4729,-0.953154,14,326.906,0.8267,4.7500,0.5417,7.9418,3.0000,8.0000,5.2001
MCL/B1S3Tl1_ICSD_73085,12.157114,5.829402,7.0514288,66.571487,90.0,90.0,4.51032,-0.376779,14,458.527,0.6400,26.8000,0.5833,1.6432,3.0000,5.0000,1.6813
TET/N6O8S7_ICSD_49015,12.159091,12.159091,5.1829361,90.0,90.0,90.0,1.89165,-0.267312,113,766.263,0.5733,10.3810,0.6500,0.4629,3.0000,21.0000,2.0274
MCL/Al2Bi2Cl12_ICSD_414261,12.172084,8.0349143,11.106974,80.930593,90.0,90.0,2.77823,-1.30604,14,1072.7,1.0333,24.7500,0.6800,1.4880,3.0000,8.0000,3.8303
RHL/C1H3O3P1Pb1_ICSD_110617,12.170682,12.170682,12.170682,116.41413,116.41413,116.41413,3.46922,-1.15462,148,865.034,0.5700,14.4444,0.5588,7.1259,5.0000,9.0000,4.1263
BCT/Li1P7_ICSD_23621,12.179891,12.179891,12.179891,111.79988,111.79988,104.90803,2.14713,-0.233359,142,1384.39,1.2100,13.5000,0.5833,4.9497,2.0000,8.0000,1.6471
TET/Ba1Cl2Hg2O2_ICSD_77509,12.177147,12.177147,4.3492472,90.0,90.0,90.0,6.60607,-1.30954,127,644.919,1.4683,38.0000,0.3462,5.3675,4.0000,7.0000,1.6030
ORC/Cs3Sb1Se4_ICSD_404083,12.185291,10.87807,10.406305,90.0,90.0,90.0,4.02708,-0.941053,62,1379.38,1.1733,44.0000,0.5938,7.6672,3.0000,8.0000,1.4439
MCL/C2F4Te2_ICSD_73583,12.196173,7.2479476,7.5482698,87.754707,90.0,90.0,3.53874,-0.708635,4,666.734,1.2533,19.0000,0.6667,1.4142,3.0000,4.0000,1.6583
BCT/Ho1P1S4_ICSD_416186,12.195384,12.195384,12.195384,127.58959,127.58959,77.290826,3.89702,-1.04056,142,1104.96,0.9000,24.3333,0.6129,5.2409,3.0000,6.0000,2.1538
MCL/As2O4Pb1_ICSD_65027,12.204556,6.4333931,7.3506102,67.250877,90.0,90.0,5.25436,-1.26667,14,532.248,0.8400,25.7143,0.6316,0.7868,3.0000,7.0000,2.8502
TET/F1H2O2Rb1_ICSD_200384,12.205193,12.205193,4.5342569,90.0,90.0,90.0,2.72354,-1.30871,113,675.453,1.7867,10.6667,0.5909,8.4063,4.0000,6.0000,4.0379
MCL/Ba1Cl2H4O2_ICSD_2254,12.21632,6.9850682,8.3041838,88.972137,90.0,90.0,2.29,-1.48353,14,708.497,1.4350,12.2222,0.5625,8.0777,4.0000,9.0000,4.5401
ORC/Cs3P1Se4_ICSD_415021,12.224365,10.182904,10.254554,90.0,90.0,90.0,3.87936,-0.927666,62,1276.48,1.1733,39.5000,0.5938,7.6672,3.0000,8.0000,1.8144
BCT/Al2Ca1H4O8Si1_ICSD_100320,12.224641,12.224641,12.224641,156.37931,156.37931,33.65019,2.88065,-2.29004,88,293.014,1.0940,8.0000,0.5625,6.8203,5.0000,16.0000,4.6605
MCL/Cl12O4P2Sb2_ICSD_49749,12.23018,8.9802264,11.468274,71.178692,90.0,90.0,2.21426,-1.12827,14,1192.21,0.8567,18.4000,0.6875,0.8433,4.0000,10.0000,2.2702
BCT/P1S4Y1_ICSD_648078,12.245598,12.245598,12.245598,127.53758,127.53758,77.37534,2.94278,-1.04957,142,1120.06,0.9067,19.6667,0.5938,5.2409,3.0000,6.0000,2.1242
BCT/O2Si1_ICSD_170499,12.247675,12.247675,12.247675,135.7528,135.7528,64.362743,1.80958,-2.81199,141,882.172,1.5400,10.0000,0.6250,1.1547,2.0000,3.0000,5.4834
MCL/As1N9_ICSD_413360,12.248026,7.2953824,7.6446997,73.010101,90.0,90.0,2.04349,0.624549,14,653.272,0.8600,9.6000,0.6000,0.0000,2.0000,10.0000,3.3330
RHL/Al1O4P1_ICSD_72374,12.260516,12.260516,12.260516,118.15212,118.15212,118.15212,1.88661,-2.67916,148,644.035,1.2200,10.0000,0.6250,1.2111,3.0000,6.0000,5.6569
MCL/O9Se3Tl2_ICSD_170707,12.272565,4.6189092,18.453347,83.947018,90.0,90.0,5.042,-0.740551,14,1040.21,1.2133,24.0000,0.6410,1.0894,3.0000,14.0000,2.1722
ORCF/H3Na1O6Si2_ICSD_39749,12.270294,9.8390263,8.9281496,81.503379,52.47209,46.024532,2.19612,-2.05644,43,538.908,1.3050,7.5000,0.5833,7.1774,4.0000,12.0000,5.0622
TET/Ca1O3Te1_ICSD_260226,12.276481,12.276481,11.196929,90.0,90.0,90.0,4.24462,-2.00785,78,1687.51,1.6267,19.2000,0.6154,6.2610,3.0000,5.0000,2.9288
MCL/F1H3K1O4P1_ICSD_281560,12.280251,6.3187623,7.0922041,65.720321,90.0,90.0,2.06675,-1.84374,14,501.65,1.5140,7.8000,0.6000,7.7603,5.0000,10.0000,5.6918
MCL/As2Cd3O8_ICSD_14257,12.28494,6.7204601,9.4653928,81.772639,90.0,90.0,5.2822,-1.18336,14,773.424,1.1667,21.0769,0.4043,1.7059,3.0000,13.0000,1.7084
HEX/Ge4O9Rb2_ICSD_189271,12.290499,12.290499,10.046838,89.999847,90.000153,120.00255,4.58856,-1.73277,165,1314.28,1.7467,18.2667,0.6111,5.1390,3.0000,15.0000,2.8022
MCLC/Ca1O6P2_ICSD_417710,12.30168,12.30168,6.846115,87.371371,87.371371,111.31926,2.7347,-2.53344,9,961.94,1.6267,10.8889,0.6250,4.6037,3.0000,9.0000,5.5316
MCLC/Bi1P2S7Tl2_ICSD_171218,12.302903,12.302903,19.128766,61.414561,61.414561,32.105717,4.49974,-0.400112,15,1334.54,0.5083,32.2500,0.6190,1.1382,4.0000,12.0000,2.1068
TRI/K4O18Si8_ICSD_2155,12.309484,4.9947749,8.4943163,90.930239,109.00898,89.630452,2.25033,-2.66708,2,493.712,1.7467,11.0667,0.6111,5.1390,3.0000,15.0000,4.4218
MCLC/Bi10Mo3O24_ICSD_173837,12.325327,12.325327,8.8661405,84.373944,84.373944,26.98131,7.54275,-1.30688,5,607.969,0.9467,31.0270,0.5943,2.7221,3.0000,37.0000,2.6967
TET/Cl1K2Na1O6S2_ICSD_24677,12.326115,12.326115,5.6885338,90.0,90.0,90.0,2.28063,-1.71396,85,864.277,1.4940,12.1667,0.6379,6.8402,5.0000,12.0000,5.0691
ORCI/Cl9P1Se1_ICSD_78914,12.329951,12.329941,12.329951,119.87889,119.88279,90.206535,2.146,-0.540377,46,1327.84,0.6467,18.3636,0.7027,0.6467,3.0000,11.0000,2.2848
MCL/Bi1Mo2O8Rb1_ICSD_4181,12.3469,5.3720161,11.837166,87.900356,90.000065,89.999776,5.20062,-1.42469,14,784.605,1.3333,22.3333,0.5303,5.3767,4.0000,12.0000,2.9746
MCLC/C2F8Te1_ICSD_260189,12.349058,12.349058,9.2650821,88.314583,88.314583,48.154556,2.8754,-1.56961,15,1052,1.2533,12.3636,0.6857,1.2060,3.0000,11.0000,4.4024
ORCI/F10I1Sb1_ICSD_281154,12.348646,12.348646,12.348646,140.37739,139.95622,57.600822,3.80395,-1.95368,73,765.917,1.2867,16.1667,0.7073,0.5774,3.0000,12.0000,4.0297
TRI/C6H18N4O7S2_ICSD_171650,12.352149,10.897567,6.0048878,80.071374,73.182253,69.167123,1.48489,-0.314173,2,720.964,0.5940,4.5946,0.5172,7.2020,5.0000,37.0000,2.5892
MCL/Ba1O10Si3Y2_ICSD_240470,12.360079,5.4745157,6.9299255,73.654394,90.0,90.0,4.12875,-3.17545,11,449.964,1.3883,16.0000,0.5750,5.2520,4.0000,16.0000,4.8166
TET/O2Si1_ICSD_170502,12.36653,12.36653,4.3721094,90.0,90.0,90.0,2.3875,-2.29115,125,668.631,1.5400,10.0000,0.6250,1.1547,2.0000,3.0000,1.3602
ORCI/Cl8I1P1_ICSD_60420,12.365199,12.365199,12.365199,118.39706,116.81974,94.199869,2.12367,-0.526821,74,1380.88,0.6467,20.4000,0.7059,0.6325,3.0000,10.0000,1.6752
BCT/Cs1Si1_ICSD_627104,12.376301,12.376301,12.376301,124.71002,124.71002,82.018886,3.47216,-0.0595084,142,1231.89,1.1100,34.5000,0.4000,9.1924,2.0000,2.0000,1.2025
BCT/I2P4Se3_ICSD_36365,12.390211,12.390211,12.390211,117.58748,117.58748,94.231996,2.93694,-0.122762,122,1389.94,0.3133,29.7778,0.6538,0.8333,3.0000,9.0000,2.0813
RHL/Al3Bi5Cl12_ICSD_420082,12.400887,12.400887,12.400887,58.026842,58.026842,58.026842,4.00166,-1.14521,167,1287.45,1.0333,32.9000,0.6610,1.5183,3.0000,20.0000,1.8192
ORCF/Ba4Li2Si6_ICSD_404707,12.401572,10.719119,8.7871516,78.264815,57.80818,43.927005,3.72346,-0.42219,70,652.642,0.6733,26.1667,0.3529,6.7651,3.0000,6.0000,0.0939
MCL/Ba1S2Sn1_ICSD_2587,12.450621,6.1858362,6.3553689,85.178557,90.0,90.0,4.35972,-1.30687,14,487.743,1.1267,34.5000,0.5556,6.7330,3.0000,4.0000,1.6755
TRI/S2Sb1Tl1_ICSD_35498,12.474684,6.305467,6.5789354,75.449709,70.229838,75.289004,5.59607,-0.395261,2,463.188,0.6400,41.0000,0.6000,1.4142,3.0000,4.0000,1.6150
