a,b,c,alpha,beta,gamma,density,enthalpy_formation_atom,spacegroup_relax,volume_cell,avg_en_dev,avg_mendeleev,p_fraction,group_std,num_unique_elements,num_constituent_atoms,egap,cluster
11.012354,11.012354,8.9144868,80.487375,80.487375,90.218882,2.42475,-0.768021,15,1051.01,1.1733,20.2222,0.6,6.4183,3.0,9.0,2.3015,0
14.889169,14.889169,14.926977,73.472013,73.472013,30.846831,2.54192,-0.750895,15,1621.17,1.0333,27.4,0.697,1.2649,3.0,10.0,1.7458,0
10.6559,10.6559,9.8246311,85.802156,85.802156,81.247206,3.46613,-0.807762,15,1097.44,0.8533,35.0,0.56,7.7828,3.0,7.0,1.047,0
11.046804,11.046804,15.233889,72.597697,72.597697,57.626796,2.53699,-0.694403,15,1475.79,1.06,28.0,0.6667,1.7321,2.0,3.0,2.4027,0
11.994104,11.994104,10.02356,79.030535,79.030535,90.487073,3.85531,-0.732214,15,1388.27,1.1733,38.2222,0.6,6.4183,3.0,9.0,1.5881,0
10.798535,10.798535,9.8260683,85.080639,85.080639,79.743586,4.19828,-1.01169,15,1120.43,1.1733,42.7143,0.56,7.7828,3.0,7.0,1.5812,0
10.663794,10.66364,16.293334,67.309943,67.308064,62.907303,2.43268,-0.656887,15,1471.2,1.06,24.0,0.7059,0.4472,2.0,5.0,3.1412,0
11.346058,11.346058,9.2726423,78.257034,78.257034,89.73253,5.51119,-0.354085,15,1143.41,0.62,44.0,0.5909,1.3642,3.0,9.0,1.4272,0
10.089528,10.089528,7.8304245,74.993378,74.993378,122.68258,4.51554,-0.807832,15,564.734,0.86,36.4444,0.4706,6.3465,3.0,9.0,0.8232,0
11.34847,11.34847,15.674572,83.371036,83.371036,115.27174,4.95055,-0.720931,15,1782.54,0.8533,47.8261,0.5714,6.5063,3.0,23.0,1.0211,0
10.100392,10.100375,6.6612747,90.0,90.0,120.00005,3.60707,-0.847997,189,588.523,1.28,44.5,0.5714,10.6066,2.0,2.0,0.4213,0
10.883652,10.883652,13.640702,90.0,90.0,142.67093,4.44091,-0.982111,64,979.804,0.7333,40.0,0.4167,6.7188,3.0,7.0,0.5351,0
11.300172,11.300172,14.266503,90.0,90.0,142.42781,4.80882,-1.01471,64,1110.83,0.7733,47.7143,0.4167,6.7188,3.0,7.0,0.4714,0
10.104258,10.104258,9.1945404,90.0,90.0,126.12727,5.14072,-1.15633,64,758.218,1.16,53.7778,0.4,6.8516,2.0,9.0,0.2541,0
10.664543,10.664543,10.664543,107.72695,107.72695,113.01909,3.60559,-1.16412,82,930.992,0.7883,30.8571,0.6667,1.5275,4.0,7.0,2.152,0
10.38899,10.38899,10.38899,99.251378,99.251378,132.72399,2.48708,-1.07163,82,754.624,1.2867,21.3333,0.7,0.8165,3.0,6.0,1.4273,0
10.315151,10.315151,10.315151,107.74422,107.74422,112.98336,3.23107,-1.19635,82,842.503,0.8683,25.7143,0.6667,1.5275,4.0,7.0,2.8429,0
10.112185,10.112185,10.112185,98.011421,98.011421,136.15853,2.66009,-1.38909,82,664.457,1.2867,20.0,0.7,0.8165,3.0,6.0,1.7973,0
10.154564,10.154564,10.154564,109.47122,109.47122,109.47122,2.54106,0.207277,204,806.05,1.73,8.8182,0.4878,3.9196,2.0,11.0,0.6934,0
10.388705,10.388705,10.388705,109.47122,109.47122,109.47122,2.92069,0.193671,204,863.102,1.76,10.4545,0.4878,3.9196,2.0,11.0,0.7461,0
10.161386,10.161386,24.235245,90.0,90.0,90.0,1.97553,0.178483,137,2502.38,0.0,14.0,0.5,0.0,1.0,1.0,0.1324,0
11.824063,11.824063,6.3903575,90.0,90.0,90.0,1.4866,-0.830335,137,893.426,1.1933,9.6,0.6667,1.4142,3.0,5.0,1.0765,0
11.087776,7.2618082,7.2380474,72.439442,68.590765,81.13277,6.00027,-0.507172,2,516.653,1.2133,28.0714,0.6543,1.2514,3.0,14.0,1.9344,0
11.061491,11.413693,10.096468,89.602385,117.46608,103.25062,3.58152,-0.439824,2,1093.69,0.8717,24.0476,0.4737,4.3001,4.0,21.0,1.8729,0
10.800505,10.087427,10.864815,92.18378,54.409454,88.348539,0.675272,-0.185785,2,959.997,0.9333,10.6667,0.6667,1.0,3.0,3.0,2.5925,0
13.939662,10.589108,11.381476,108.87248,103.36316,85.73572,4.16809,-1.9962,2,1546.65,1.6267,19.2,0.6154,6.261,3.0,5.0,2.9372,0
12.095607,9.4248394,8.6324491,70.343266,64.718058,69.714704,1.97756,-0.325436,2,813.809,0.74,19.1667,0.6757,0.5774,3.0,12.0,2.8329,0
10.401929,8.4992326,6.8595696,79.023025,67.865142,75.984974,4.11044,-0.739972,2,541.699,1.0267,17.1667,0.3902,4.1833,3.0,6.0,1.5783,0
10.811769,9.723959,7.9778518,67.78517,70.811332,68.275096,4.12992,-0.589904,2,703.744,0.78,33.4545,0.5714,7.3187,3.0,11.0,0.9696,0
10.166924,8.7229903,8.4309331,104.05768,89.818484,103.49771,4.80147,-0.0714516,2,704.143,0.56,52.5,0.6923,0.7071,2.0,2.0,0.7496,0
11.054389,8.401396,6.060629,67.149047,75.610965,68.789009,4.48086,-0.712847,2,479.714,0.9267,28.4,0.6429,0.5477,3.0,5.0,1.2316,0
12.474684,6.305467,6.5789354,75.449709,70.229838,75.289004,5.59607,-0.395261,2,463.188,0.64,41.0,0.6,1.4142,3.0,4.0,1.615,0
12.831266,6.6991771,6.7333941,75.512363,73.558378,70.032192,3.50544,-0.782689,2,514.134,1.1733,30.0,0.6111,7.3485,3.0,4.0,1.9433,0
16.858222,5.9274181,7.863878,77.774562,75.309933,75.900958,2.24044,-1.87307,2,727.738,1.2867,23.2222,0.6949,0.7265,3.0,9.0,1.1615,0
13.294394,6.6418613,6.6365045,76.988571,69.815173,74.986704,4.03109,-0.759417,2,525.245,1.1533,34.5,0.6111,7.3485,3.0,4.0,1.421,0
10.387771,7.8509083,9.3782907,67.15874,97.161161,100.97536,2.36358,-0.108444,2,690.874,0.4133,22.6,0.6296,0.8944,3.0,5.0,0.2509,0
10.537459,8.4871708,8.4332035,70.737345,67.12962,57.589639,3.48713,-0.318446,2,579.459,0.5333,26.4,0.5625,4.7749,3.0,5.0,1.9658,0
12.248026,7.2953824,7.6446997,73.010101,90.0,90.0,2.04349,0.624549,14,653.272,0.86,9.6,0.6,0.0,2.0,10.0,3.333,0
11.422752,8.0324525,12.489731,76.934018,90.0,90.0,3.66248,0.0245047,14,1116.3,0.37,33.5,0.6364,0.7071,2.0,2.0,1.0613,0
10.415686,4.991587,7.2162571,91.057733,90.0,90.0,6.06809,0.146171,14,375.115,1.0067,25.3333,0.3478,2.582,3.0,6.0,2.5514,0
13.130562,7.5054782,12.326043,78.438445,90.0,90.0,1.76508,-0.198402,14,1190.1,0.39,15.6,0.6429,0.5477,2.0,5.0,2.4602,0
13.265623,8.019988,8.1260853,76.949989,90.0,90.0,7.20568,-0.283325,14,842.207,0.96,53.1429,0.5333,1.6036,2.0,7.0,0.8499,0
10.378339,4.6642838,7.4949189,76.65791,90.0,90.0,6.16294,-0.645122,14,353.018,0.96,27.6,0.4444,1.7889,3.0,5.0,2.5938,0
13.110563,6.7389753,15.34352,89.937079,90.0,90.0,5.29648,-0.940567,14,1355.63,1.1,45.8,0.4737,7.1204,2.0,5.0,0.0853,0
14.182306,7.3836408,8.4236743,75.832487,90.0,90.0,4.21458,-0.664201,14,855.273,0.8733,44.8,0.5909,6.5038,3.0,5.0,1.3332,0
10.173395,5.6530804,14.129185,75.364913,90.0,90.0,1.38735,0.522339,14,786.219,0.3267,10.25,0.619,0.7071,3.0,8.0,1.9233,0
13.12411,7.2820803,16.970873,64.576658,90.0,90.0,3.96087,-0.451244,14,1464.85,0.49,36.4,0.5833,1.6432,2.0,5.0,1.8551,0
12.23018,8.9802264,11.468274,71.178692,90.0,90.0,2.21426,-1.12827,14,1192.21,0.8567,18.4,0.6875,0.8433,4.0,10.0,2.2702,0
11.340647,8.7252434,12.505208,71.893314,90.0,90.0,2.67591,-1.11823,14,1176.11,1.56,26.5,0.6818,8.0,3.0,4.0,2.3549,0
12.481607,7.1113997,8.601251,73.632928,90.0,90.0,1.88866,0.41024,14,732.523,0.3267,10.4,0.6154,0.8367,3.0,5.0,0.5965,0
13.170578,6.2748519,7.8595795,73.377242,90.0,90.0,4.06167,-0.586591,14,622.398,1.1733,32.4,0.5909,6.5038,3.0,5.0,1.6356,0
13.794532,7.2939402,11.337907,84.938388,90.0,90.0,1.54505,-0.0478526,14,1136.33,0.5733,11.0,0.6471,0.4924,3.0,12.0,1.7646,0
15.292678,6.7326642,7.8436385,66.916183,90.0,90.0,1.67244,0.269445,14,742.923,0.3817,11.5,0.6364,1.291,4.0,4.0,2.7757,0
11.811548,8.1274936,13.57731,79.356024,90.0,90.0,1.58452,-0.194422,14,1280.97,0.74,17.5,0.6667,1.069,3.0,8.0,1.9283,0
14.344428,6.4291261,13.247319,73.830883,90.0,90.0,1.74246,-0.819263,14,1173.37,1.56,23.3333,0.6944,6.532,3.0,6.0,2.3007,0
11.006991,5.0351762,14.322404,85.230309,90.0,90.0,1.79422,0.506243,14,791.029,0.3817,10.6,0.6296,0.8433,4.0,10.0,2.2898,0
15.499709,5.4169108,7.0386147,72.701393,90.0,90.0,1.10879,-0.137551,14,564.235,0.2533,5.0,0.4615,7.7006,3.0,5.0,3.6276,0
12.28494,6.7204601,9.4653928,81.772639,90.0,90.0,5.2822,-1.18336,14,773.424,1.1667,21.0769,0.4043,1.7059,3.0,13.0,1.7084,0
16.566204,4.2572381,5.9568353,81.825559,90.0,90.0,1.42208,-0.0173017,14,415.845,1.4067,7.3333,0.5417,5.5737,3.0,6.0,1.3983,0
12.613639,8.9481433,14.044186,88.80742,90.0,90.0,2.9007,-0.844711,14,1584.8,1.1533,25.8333,0.6,7.6267,3.0,6.0,1.8868,0
11.681749,6.5232462,10.088833,80.599807,90.0,90.0,6.93323,-1.40081,14,758.475,0.96,25.6923,0.4043,1.7059,3.0,13.0,1.4112,0
12.503902,11.655315,12.170173,80.131118,90.0,90.0,3.71462,-0.640514,14,1747.4,1.1933,32.7692,0.625,5.5157,3.0,13.0,1.5933,0
15.334763,5.3728491,7.6509529,86.499219,90.0,90.0,3.35412,-0.116934,14,629.196,0.41,34.5,0.6923,0.7071,2.0,2.0,1.7208,0
15.896438,8.4623464,8.9233331,87.871569,90.0,90.0,5.88437,-1.60864,14,1199.55,0.9083,34.0,0.6389,1.3301,4.0,13.0,3.5302,0
12.705547,9.2333816,9.783197,89.625347,90.0,90.0,3.09306,-0.502364,14,1147.69,0.9083,22.1818,0.6379,4.4558,4.0,11.0,2.3919,0
17.26641,4.8774372,5.8647221,64.593543,90.0,90.0,3.64269,-0.510233,14,446.136,0.9267,21.6,0.6429,0.5477,3.0,5.0,0.9374,0
12.204556,6.4333931,7.3506102,67.250877,90.0,90.0,5.25436,-1.26667,14,532.248,0.84,25.7143,0.6316,0.7868,3.0,7.0,2.8502,0
10.588165,6.2312265,12.857415,80.265772,90.0,90.0,1.8452,0.140155,14,836.084,0.5733,10.5455,0.6452,0.5045,3.0,11.0,1.5474,0
11.90756,6.7019687,13.226552,85.888896,90.0,90.0,1.80668,-0.14486,14,1052.82,0.39,15.7778,0.6538,0.441,2.0,9.0,2.0845,0
17.226507,7.2065471,12.578396,89.175289,90.0,90.0,3.92242,-0.2682,14,1561.37,0.54,33.3333,0.625,1.1547,2.0,3.0,1.3927,0
12.981419,4.7651154,6.4161816,79.898374,90.0,90.0,3.3631,-1.14484,14,390.739,1.26,18.0,0.6429,0.5477,2.0,5.0,2.9038,0
12.021317,6.6714425,10.389739,80.551558,90.0,90.0,7.10811,-0.828855,14,821.948,0.96,28.4615,0.4043,1.7059,3.0,13.0,0.999,0
15.906431,7.3040345,14.808537,81.972379,90.0,90.0,3.66243,-1.17731,14,1703.61,1.0333,30.9231,0.4286,2.3507,3.0,13.0,2.4913,0
10.256205,9.1257656,10.708288,75.921613,90.0,90.0,4.54473,-0.738771,14,972.146,0.9067,46.5,0.4043,3.9428,4.0,12.0,1.37,0
13.848704,6.0547437,17.162647,73.296226,90.0,90.0,3.96151,-0.0590947,14,1378.37,0.51,32.3636,0.5152,1.3751,4.0,11.0,1.237,0
13.155277,7.4669874,11.484642,81.455045,90.0,90.0,4.66999,-1.00914,14,1115.62,1.7667,33.3,0.4324,7.4543,3.0,10.0,1.4506,0
13.609302,6.7917186,9.4634893,78.600188,90.0,90.0,0.583494,-0.0337646,14,857.459,0.34,2.8571,0.2857,6.6009,3.0,7.0,4.9183,0
14.330847,7.0016418,9.3649422,73.931346,90.0,90.0,4.06209,-1.02237,14,902.961,0.8533,39.0,0.5,7.746,3.0,6.0,0.4363,0
12.80915,6.6265596,16.537851,95.475385,90.0,90.0,1.08417,-0.692622,14,1397.34,0.765,4.6154,0.525,7.532,4.0,13.0,3.0804,0
11.588676,5.4209219,7.8997399,88.374361,90.0,90.0,3.18218,-0.682044,14,496.072,1.0667,17.6667,0.6154,7.746,3.0,6.0,0.9734,0
11.302755,6.6347337,16.191964,79.246205,90.0,90.0,1.8363,-0.231958,14,1192.92,0.492,9.0588,0.5192,7.4543,5.0,17.0,2.6536,0
12.821285,6.1368075,9.750471,85.923264,90.0,90.0,1.07891,-0.0154751,14,765.243,0.2,5.0769,0.3462,6.37,3.0,13.0,4.1919,0
10.470968,8.2407326,12.739605,80.253086,90.0,90.0,3.41008,-1.54831,14,1083.41,1.07,22.1818,0.7027,0.6467,4.0,11.0,3.078,0
10.755704,4.6895968,6.6172935,69.721664,90.0,90.0,5.23152,-0.230648,14,313.088,0.96,25.75,0.3793,1.893,3.0,4.0,2.0782,0
12.092734,5.6466833,8.2926522,87.468095,90.0,90.0,4.44252,-0.637333,14,565.701,1.0467,26.6667,0.6154,7.746,3.0,6.0,0.5334,0
12.450621,6.1858362,6.3553689,85.178557,90.0,90.0,4.35972,-1.30687,14,487.743,1.1267,34.5,0.5556,6.733,3.0,4.0,1.6755,0
16.896592,7.7597414,8.7806552,73.196121,90.0,90.0,5.91221,-0.533909,14,1102.1,0.3467,50.75,0.6522,1.2817,4.0,8.0,1.7673,0
11.405547,7.8170798,11.514612,58.076501,90.0,90.0,5.67092,-0.864378,14,871.349,1.2133,34.0,0.625,1.3229,3.0,9.0,2.2791,0
12.172084,8.0349143,11.106974,80.930593,90.0,90.0,2.77823,-1.30604,14,1072.7,1.0333,24.75,0.68,1.488,3.0,8.0,3.8303,0
13.186108,8.1504155,8.5521283,78.986329,90.0,90.0,2.80618,-1.19968,14,902.188,1.1533,24.5714,0.5417,7.6904,3.0,7.0,2.3834,0
12.157114,5.829402,7.0514288,66.571487,90.0,90.0,4.51032,-0.376779,14,458.527,0.64,26.8,0.5833,1.6432,3.0,5.0,1.6813,0
13.692703,7.2999997,11.338298,84.716329,90.0,90.0,1.48362,-0.625625,14,1128.52,1.0467,10.3333,0.6471,1.1547,4.0,12.0,1.971,0
10.604928,9.3807401,12.509158,88.571509,90.0,90.0,3.37263,-0.001355,14,1244.05,0.0,34.0,0.6667,0.0,1.0,1.0,1.625,0
14.622235,7.7433691,9.5705586,65.143545,90.0,90.0,2.1128,-0.631379,14,983.247,0.7783,23.5,0.6571,1.6021,4.0,6.0,1.6395,0
13.545329,7.1579849,10.170593,47.471798,90.0,90.0,1.93662,-0.171212,14,726.711,1.1267,13.5714,0.4737,7.4833,4.0,7.0,1.6855,0
11.798118,8.6708975,9.923421,85.751741,90.0,90.0,2.40824,-0.672492,14,1012.38,0.6853,13.1538,0.6623,0.8623,6.0,13.0,1.5306,0
12.881121,6.7360737,14.509628,79.293585,90.0,90.0,2.16251,-1.07181,14,1237.06,1.0333,20.4444,0.6897,1.3333,3.0,9.0,3.2907,0
12.736867,8.9847576,10.283059,78.161238,90.0,90.0,2.26769,-1.16827,14,1151.74,1.2533,17.0,0.6774,1.3038,3.0,5.0,2.3993,0
12.722805,6.2643257,7.5186578,74.52834,90.0,90.0,3.8317,-0.557134,14,577.521,1.1533,28.8,0.5909,6.5038,3.0,5.0,1.5162,0
14.54849,6.9892736,9.9769043,72.148244,90.0,90.0,4.43633,-1.02651,14,965.641,0.8533,45.0,0.5,7.746,3.0,6.0,0.4606,0
13.132903,5.8307595,8.7996369,78.898383,90.0,90.0,4.80905,-0.953246,14,661.221,1.1667,21.2,0.4444,1.7889,3.0,5.0,3.4888,0
15.897381,6.3386732,12.899548,74.790154,90.0,90.0,2.36711,-0.368699,14,1254.33,1.1933,25.25,0.6429,5.2644,3.0,8.0,2.0816,0
10.361027,8.151841,8.6130981,68.501447,89.990543,89.999368,2.00375,-0.542995,14,676.862,0.5733,10.2,0.6552,0.4216,3.0,10.0,2.7269,0
11.874435,5.5983241,10.201631,88.018694,90.0,90.0,5.78293,-1.75912,14,677.768,1.32,27.4444,0.4648,2.1794,3.0,9.0,0.7433,0
11.424795,7.5983716,7.9755923,65.836722,89.999414,89.998872,6.05669,-1.06482,14,631.697,1.1667,24.8,0.4444,1.7889,3.0,5.0,3.1032,0
12.710797,9.2104606,9.7822824,89.739171,90.0,90.0,4.05829,-0.343996,14,1145.22,0.5083,27.8182,0.6333,0.9342,4.0,11.0,2.2209,0
10.605492,6.9510465,7.4687081,74.859674,90.0,90.0,4.69871,-0.433468,14,531.476,0.38,32.4,0.6154,1.0954,3.0,5.0,1.7519,0
16.487074,8.5816477,9.1950795,87.81492,90.0,90.0,6.338,-1.49652,14,1300.03,0.875,39.5385,0.6389,1.3301,4.0,13.0,3.1461,0
12.537825,7.4119998,8.2470084,67.701342,90.0,90.0,1.62084,0.240819,14,709.085,0.8333,7.8182,0.6071,0.3015,3.0,11.0,3.9306,0
11.721901,7.9827507,8.7738354,70.596669,90.0,90.0,4.30991,-0.376811,14,774.365,0.61,52.5,0.6923,1.0,2.0,4.0,2.1401,0
15.974333,7.4777922,9.1977125,65.659933,90.0,90.0,4.84323,-0.366839,14,1001.04,0.64,34.8889,0.625,1.0,3.0,9.0,1.5802,0
13.946082,8.7430866,9.184054,78.946932,90.0,90.0,3.18539,-0.945541,14,1099.06,0.8533,32.2857,0.5417,7.6904,3.0,7.0,2.1469,0
10.195084,10.195084,10.195084,90.0,90.0,90.0,5.56753,-1.19187,201,1059.67,1.7467,25.2,0.625,6.6106,3.0,5.0,0.567,0
10.196054,10.196054,5.5843916,90.0,90.0,90.0,2.12002,-0.570803,113,580.551,0.6467,21.25,0.7037,0.7071,3.0,8.0,1.7635,0
12.159091,12.159091,5.1829361,90.0,90.0,90.0,1.89165,-0.267312,113,766.263,0.5733,10.381,0.65,0.4629,3.0,21.0,2.0274,0
10.214879,10.214948,10.384305,90.0,90.0,119.99977,1.98798,0.0794809,191,938.379,0.0,14.0,0.5,0.0,1.0,1.0,1.1182,0
10.226994,10.226994,10.226994,90.0,90.0,90.0,2.0056,0.0626397,223,1069.66,0.0,14.0,0.5,0.0,1.0,1.0,1.3129,0
11.471368,11.471368,11.471368,90.0,90.0,90.0,2.49189,0.225844,223,1509.54,1.66,8.381,0.4878,2.6186,2.0,21.0,0.1413,0
10.229157,10.229157,10.229157,97.693873,97.693873,137.07448,2.60542,-1.38705,79,678.4,1.2867,20.0,0.7,0.8165,3.0,6.0,1.7597,0
10.276049,10.276004,10.572959,90.0,90.0,120.00015,2.80809,-0.523834,194,966.89,0.7283,26.0,0.4062,6.7807,4.0,14.0,0.7457,0
10.415164,10.415164,17.036372,90.0,90.0,120.00004,1.98153,0.0550076,194,1600.44,0.0,14.0,0.5,0.0,1.0,1.0,1.3751,0
